text,emotion,emotion_group,platform,country,timestamp,likes,retweets,textblob_score,textblob_sentiment,vader_score,vader_sentiment,sentiment
Just adopted a cute furry friend! 🐾,Positive,Positive,Instagram,Canada,2023-01-19 17:10:00,30,15,0.5,Positive,0.7574,Positive,Positive
Late-night gaming session with friends.,Positive,Positive,Twitter,UK,2023-01-20 00:05:00,35,18,-0.3,Negative,0.4767,Positive,Positive
Attending a virtual conference on AI.,Neutral,Neutral,Facebook,USA,2023-01-20 11:30:00,50,25,0.0,Neutral,0.0,Neutral,Neutral
Winter blues got me feeling low.,Negative,Negative,Instagram,USA,2023-01-20 15:15:00,15,8,0.0,Neutral,-0.1531,Negative,Negative
Sipping coffee and enjoying a good book.,Positive,Positive,Twitter,India,2023-01-21 08:40:00,45,22,0.6,Positive,0.743,Positive,Positive
Exploring the world of virtual reality.,Positive,Positive,Facebook,USA,2023-01-21 13:20:00,30,15,0.0,Neutral,0.0,Neutral,Neutral
Productive day ticking off my to-do list.,Positive,Positive,Instagram,USA,2023-01-21 16:45:00,60,30,0.0,Neutral,0.0,Neutral,Neutral
Just finished a challenging workout routine.,Positive,Positive,Twitter,UK,2023-01-22 09:15:00,40,20,0.5,Positive,0.1531,Positive,Positive
Celebrating a milestone at work! 🎉,Positive,Positive,Facebook,Canada,2023-01-22 14:30:00,25,12,0.0,Neutral,0.6114,Positive,Positive
Sunday brunch with friends.,Positive,Positive,Instagram,UK,2023-01-22 12:00:00,30,15,0.0,Neutral,0.4767,Positive,Positive
Learning a new language for personal growth.,Positive,Positive,Facebook,India,2023-01-23 16:20:00,50,25,0.0682,Positive,0.3818,Positive,Positive
Quiet evening with a good book.,Positive,Positive,Instagram,Australia,2023-01-23 19:45:00,30,15,0.35,Positive,0.4404,Positive,Positive
Reflecting on the importance of mental health.,Positive,Positive,Twitter,USA,2023-01-24 11:30:00,45,22,-0.1,Negative,0.3612,Positive,Positive
New painting in progress! 🎨,Positive,Positive,Facebook,Canada,2023-01-24 15:00:00,25,12,0.1364,Positive,0.4753,Positive,Positive
Weekend road trip to explore scenic views.,Positive,Positive,Instagram,UK,2023-01-24 17:30:00,35,18,0.0,Neutral,0.0,Neutral,Neutral
Enjoying a cup of tea and watching the sunset.,Positive,Positive,Twitter,India,2023-01-25 18:00:00,30,15,0.5,Positive,0.5267,Positive,Positive
Coding a new project with enthusiasm.,Positive,Positive,Facebook,USA,2023-01-25 13:15:00,60,30,0.1364,Positive,0.4404,Positive,Positive
Feeling inspired after attending a workshop.,Positive,Positive,Instagram,USA,2023-01-26 09:45:00,50,25,0.0,Neutral,0.5719,Positive,Positive
Winter sports day at the local park.,Positive,Positive,Twitter,Canada,2023-01-26 14:20:00,30,15,0.0,Neutral,0.0,Neutral,Neutral
Quality time with family this weekend.,Positive,Positive,Facebook,UK,2023-01-26 17:40:00,45,22,0.0,Neutral,0.0,Neutral,Neutral
Attending a live music concert tonight.,Positive,Positive,Instagram,USA,2023-01-27 20:00:00,35,18,0.1364,Positive,0.0,Neutral,Neutral
Practicing mindfulness with meditation.,Positive,Positive,Twitter,India,2023-01-27 12:30:00,30,15,0.0,Neutral,0.0,Neutral,Neutral
Trying out a new dessert recipe.,Positive,Positive,Facebook,Canada,2023-01-27 16:10:00,25,12,0.1364,Positive,0.0,Neutral,Neutral
Excited about the upcoming gaming tournament.,Positive,Positive,Instagram,USA,2023-01-28 09:00:00,60,30,0.375,Positive,0.34,Positive,Positive
Planning a garden makeover for spring.,Positive,Positive,Twitter,USA,2023-01-28 14:45:00,50,25,0.0,Neutral,0.0,Neutral,Neutral
Celebrating a friend's birthday tonight! 🎂,Positive,Positive,Facebook,UK,2023-01-28 19:30:00,30,15,0.0,Neutral,0.6114,Positive,Positive
Feeling accomplished after a productive day.,Positive,Positive,Instagram,India,2023-01-29 17:00:00,45,22,0.2,Positive,0.5267,Positive,Positive
A cozy evening with a good movie.,Positive,Positive,Twitter,Canada,2023-01-29 20:20:00,35,18,0.25,Positive,0.4404,Positive,Positive
Exploring local art galleries this weekend.,Positive,Positive,Facebook,USA,2023-01-30 11:30:00,30,15,0.0,Neutral,0.0,Neutral,Neutral
New book release from my favorite author!,Positive,Positive,Instagram,UK,2023-01-30 15:45:00,25,12,0.3182,Positive,0.5093,Positive,Positive
Attending a virtual reality meetup.,Positive,Positive,Twitter,India,2023-01-30 18:30:00,55,28,0.0,Neutral,0.0,Neutral,Neutral
Reflecting on the beauty of nature.,Positive,Positive,Facebook,Australia,2023-01-31 10:45:00,30,15,0.0,Neutral,0.5859,Positive,Positive
Cooking a special dinner for loved ones.,Positive,Positive,Instagram,USA,2023-01-31 19:00:00,40,20,0.5286,Positive,0.765,Positive,Positive
Feeling optimistic about the week ahead.,Positive,Positive,Twitter,Canada,2023-01-31 16:20:00,30,15,0.0,Neutral,0.4215,Positive,Positive
Starting a new fitness challenge tomorrow! 💪,Positive,Positive,Facebook,UK,2023-02-01 08:00:00,45,22,0.0682,Positive,0.4003,Positive,Positive
Sunday bike ride through scenic trails.,Positive,Positive,Instagram,USA,2023-02-01 13:30:00,35,18,0.0,Neutral,0.0,Neutral,Neutral
Can't believe the injustice happening in our society.,Anger,Negative,Twitter,Canada,2023-02-11 09:30:00,40,20,0.0,Neutral,0.4585,Positive,Positive
Feeling a sense of fear after watching a thriller movie.,Fear,Negative,Instagram,USA,2023-02-11 21:15:00,30,15,0.0,Neutral,-0.3182,Negative,Negative
Heartbroken after hearing the news about a natural disaster.,Sadness,Negative,Facebook,India,2023-02-12 14:45:00,50,25,0.1,Positive,-0.7845,Negative,Negative
The state of the world's environment is just disgusting.,Disgust,Negative,Twitter,UK,2023-02-12 18:20:00,35,18,-1.0,Negative,-0.5267,Negative,Negative
Pure happiness: celebrating a loved one's achievement!,Happiness,Positive,Instagram,USA,2023-02-13 10:00:00,60,30,0.5381,Positive,0.9098,Positive,Positive
Laughter is the best medicine—enjoying a comedy show.,Joy,Positive,Facebook,Canada,2023-02-13 19:30:00,45,22,0.75,Positive,0.872,Positive,Positive
Sharing love and positive vibes with everyone! ❤️,Love,Positive,Twitter,Australia,2023-02-14 08:30:00,30,15,0.3636,Positive,0.8977,Positive,Positive
An amusing incident brightened up my day!,Amusement,Positive,Instagram,UK,2023-02-14 14:20:00,35,18,0.6,Positive,0.7177,Positive,Positive
Enjoying a quiet evening with a book and some tea.,Enjoyment,Positive,Facebook,Canada,2023-02-14 19:45:00,50,25,0.25,Positive,0.5267,Positive,Positive
Admiring the beauty of nature during a peaceful hike.,Admiration,Positive,Twitter,USA,2023-02-15 11:30:00,40,20,0.25,Positive,0.8625,Positive,Positive
Sending affectionate vibes to all my followers!,Affection,Positive,Instagram,USA,2023-02-15 16:00:00,30,15,0.0,Neutral,0.4926,Positive,Positive
Experiencing awe at the breathtaking sunset.,Awe,Positive,Facebook,Australia,2023-02-15 20:30:00,45,22,1.0,Positive,0.4588,Positive,Positive
Disappointed with the service at a local restaurant.,Disappointed,Negative,Twitter,India,2023-02-16 09:00:00,35,18,-0.375,Negative,-0.4767,Negative,Negative
A surprise gift from a friend made my day!,Surprise,Neutral,Instagram,USA,2023-02-16 14:45:00,50,25,0.0,Neutral,0.8172,Positive,Positive
Finding acceptance in the midst of life's challenges.,Acceptance,Neutral,Facebook,Canada,2023-02-16 18:20:00,30,15,0.0,Neutral,0.5106,Positive,Positive
Overflowing with adoration for my adorable pet! 🐾,Adoration,Positive,Twitter,UK,2023-02-17 10:45:00,45,22,0.5,Positive,0.8122,Positive,Positive
Anticipating a thrilling adventure in the coming weeks.,Anticipation,Neutral,Instagram,USA,2023-02-17 07:30:00,40,20,0.25,Positive,0.6597,Positive,Positive
A bitter experience turned into a valuable lesson.,Bitter,Negative,Facebook,USA,2023-02-17 15:00:00,35,18,-0.1,Negative,0.0772,Positive,Positive
Finding calmness in the midst of a busy day.,Calmness,Positive,Twitter,India,2023-02-18 09:30:00,30,15,0.1,Positive,0.4019,Positive,Positive
Confusion clouds my mind as I navigate through decisions.,Confusion,Negative,Instagram,UK,2023-02-18 14:20:00,50,25,0.0,Neutral,-0.296,Negative,Negative
Excitement building up for the upcoming vacation!,Excitement,Positive,Facebook,Canada,2023-02-18 18:45:00,45,22,0.0,Neutral,0.5411,Positive,Positive
Kindness witnessed today restored my faith in humanity.,Kind,Positive,Twitter,USA,2023-02-19 11:30:00,40,20,0.0,Neutral,0.802,Positive,Positive
Pride in achieving a personal milestone.,Pride,Positive,Instagram,Australia,2023-02-19 16:00:00,60,30,0.0,Neutral,0.34,Positive,Positive
A moment of shame for not standing up against injustice.,Shame,Negative,Facebook,India,2023-02-19 19:45:00,30,15,0.0,Neutral,-0.7783,Negative,Negative
Fuming with anger after a heated argument.,Anger,Negative,Twitter,Canada,2023-02-20 09:30:00,40,20,-0.7,Negative,-0.872,Negative,Negative
The fear of the unknown is keeping me up at night.,Fear,Negative,Instagram,USA,2023-02-20 21:15:00,30,15,-0.1,Negative,-0.4939,Negative,Negative
Heartfelt sadness after bidding farewell to a dear friend.,Sadness,Negative,Facebook,India,2023-02-21 14:45:00,50,25,0.0,Neutral,0.7506,Positive,Positive
The state of corruption in our society is utterly disgusting.,Disgust,Negative,Twitter,UK,2023-02-21 18:20:00,35,18,-1.0,Negative,-0.5709,Negative,Negative
Overflowing happiness: welcoming a new family member!,Happiness,Positive,Instagram,UK,2023-02-22 10:00:00,60,30,0.4182,Positive,0.7777,Positive,Positive
Laughter is the key to joy—attending a stand-up comedy show.,Joy,Positive,Facebook,Canada,2023-02-22 19:30:00,45,22,0.4,Positive,0.6908,Positive,Positive
Sending love to all my followers on this beautiful day! ❤️,Love,Positive,Twitter,Australia,2023-02-23 08:30:00,30,15,0.675,Positive,0.8784,Positive,Positive
Amused by the antics of my pet—it's pure amusement!,Amusement,Positive,Instagram,UK,2023-02-23 14:20:00,35,18,0.2143,Positive,0.68,Positive,Positive
Enjoying every moment of this trip—pure enjoyment!,Enjoyment,Positive,Facebook,USA,2023-02-23 19:45:00,50,25,0.3571,Positive,0.807,Positive,Positive
Admiring the dedication of volunteers at a local charity.,Admiration,Positive,Twitter,USA,2023-02-24 11:30:00,40,20,0.0,Neutral,0.6597,Positive,Positive
Sending affectionate vibes to friends and family.,Affection,Positive,Instagram,USA,2023-02-24 16:00:00,30,15,0.0,Neutral,0.7184,Positive,Positive
Awe-struck by the beauty of the night sky.,Awe,Positive,Facebook,Australia,2023-02-24 20:30:00,45,22,0.0,Neutral,0.5859,Positive,Positive
Disappointed with the lack of progress in a personal project.,Disappointed,Negative,Twitter,India,2023-02-25 09:00:00,35,18,-0.375,Negative,-0.3818,Negative,Negative
A surprise visit from an old friend brought tears of joy.,Surprise,Neutral,Instagram,USA,2023-02-25 14:45:00,50,25,0.45,Positive,0.802,Positive,Positive
Embracing acceptance of life's ups and downs.,Acceptance,Neutral,Facebook,Canada,2023-02-25 18:20:00,30,15,0.0,Neutral,0.4588,Positive,Positive
Overflowing adoration for a cute rescue puppy! 🐶,Adoration,Positive,Twitter,UK,2023-02-26 10:45:00,45,22,0.5,Positive,0.8883,Positive,Positive
Anticipating the release of a much-awaited movie.,Anticipation,Neutral,Instagram,Australia,2023-02-26 07:30:00,40,20,0.2,Positive,0.0,Neutral,Neutral
Bitter experience at the customer service department.,Bitter,Negative,Facebook,USA,2023-02-26 15:00:00,35,18,-0.1,Negative,-0.4215,Negative,Negative
Finding calmness amidst the chaos of daily life.,Calmness,Positive,Twitter,India,2023-02-27 09:30:00,30,15,0.0,Neutral,-0.25,Negative,Negative
Confusion reigns as I try to make sense of recent events.,Confusion,Negative,Instagram,UK,2023-02-27 14:20:00,50,25,0.0,Neutral,-0.296,Negative,Negative
Excitement building up for a surprise birthday party.,Excitement,Positive,Facebook,Canada,2023-02-27 18:45:00,45,22,0.0,Neutral,0.7906,Positive,Positive
Witnessed an act of kindness that made my day.,Kind,Positive,Twitter,USA,2023-02-28 11:30:00,40,20,0.0,Neutral,0.4588,Positive,Positive
Pride in completing a challenging fitness challenge.,Pride,Positive,Instagram,UK,2023-02-28 16:00:00,60,30,0.5,Positive,0.6597,Positive,Positive
A moment of shame for not speaking up against injustice.,Shame,Negative,Facebook,India,2023-02-28 19:45:00,30,15,0.0,Neutral,-0.7783,Negative,Negative
Reflecting on the beauty of diversity in our world.,Acceptance,Neutral,Twitter,Australia,2023-03-01 10:45:00,45,22,0.0,Neutral,0.5859,Positive,Positive
Excitement for a quiet evening with a good book.,Excitement,Positive,Instagram,USA,2023-03-01 13:30:00,35,18,0.35,Positive,0.7269,Positive,Positive
Feeling bitter about the unfairness in the workplace.,Bitter,Negative,Twitter,Canada,2023-03-01 17:45:00,30,15,-0.1,Negative,-0.3182,Negative,Negative
Calmness prevails as I practice mindfulness.,Calmness,Positive,Facebook,UK,2023-03-02 18:00:00,30,15,0.0,Neutral,0.4019,Positive,Positive
Confusion surrounds me as I navigate through life's choices.,Confusion,Negative,Instagram,USA,2023-03-02 13:15:00,60,30,0.0,Neutral,-0.296,Negative,Negative
Excitement for a weekend road trip to explore new places.,Excitement,Positive,Twitter,India,2023-03-02 16:45:00,50,25,0.1364,Positive,0.4939,Positive,Positive
Kindness witnessed today restores my faith in humanity.,Kind,Positive,Facebook,USA,2023-03-03 11:30:00,45,22,0.0,Neutral,0.7906,Positive,Positive
Pride in accomplishing personal and professional goals.,Pride,Positive,Instagram,Canada,2023-03-03 14:30:00,25,12,0.05,Positive,0.34,Positive,Positive
Shame for not being true to my values in a difficult situation.,Shame,Negative,Twitter,UK,2023-03-03 12:00:00,30,15,-0.075,Negative,-0.6407,Negative,Negative
"Revisiting old memories, feeling a sense of elation.",Elation,Positive,Twitter,Canada,2010-05-15 15:30:00,40,20,0.1,Positive,0.4588,Positive,Positive
The victory of our team brought euphoria to the city.,Euphoria,Positive,Instagram,USA,2021-08-10 21:15:00,30,15,0.0,Neutral,0.6486,Positive,Positive
"Embracing the beauty of nature, a moment of contentment.",Contentment,Positive,Facebook,India,2011-06-20 14:45:00,50,25,0.0,Neutral,0.743,Positive,Positive
"Meditating by the serene lake, finding inner peace.",Serenity,Positive,Twitter,UK,2022-02-12 18:20:00,35,18,0.0,Neutral,0.7579,Positive,Positive
Overflowing with gratitude for life's blessings.,Gratitude,Positive,Instagram,Australia,2012-11-25 10:00:00,60,30,0.0,Neutral,0.7783,Positive,Positive
"Hopeful for a brighter tomorrow, despite challenges.",Hope,Positive,Facebook,USA,2013-04-05 19:30:00,45,22,0.0,Neutral,0.6886,Positive,Positive
Empowered to make a difference in my community.,Empowerment,Positive,Twitter,UK,2014-09-14 08:30:00,30,15,0.0,Neutral,0.0,Neutral,Neutral
Compassion in action: supporting a local charity event.,Compassion,Positive,Instagram,Canada,2015-07-18 14:20:00,35,18,0.1167,Positive,0.8271,Positive,Positive
"A moment of tenderness, connecting with loved ones.",Tenderness,Positive,Facebook,UK,2016-02-23 19:45:00,50,25,0.7,Positive,0.7717,Positive,Positive
Arousal of excitement as I await a special announcement.,Arousal,Neutral,Twitter,Australia,2017-10-30 11:30:00,40,20,0.3571,Positive,0.743,Positive,Positive
Enthusiastically diving into a new project.,Enthusiasm,Positive,Instagram,USA,2018-06-15 16:00:00,30,15,0.1364,Positive,0.5994,Positive,Positive
Feeling a sense of fulfillment after reaching a milestone.,Fulfillment,Positive,Facebook,India,2019-03-28 18:20:00,45,22,0.0,Neutral,0.3182,Positive,Positive
Reverence for the beauty of a historic landmark.,Reverence,Positive,Twitter,UK,2019-11-11 15:00:00,35,18,0.0,Neutral,0.6249,Positive,Positive
Elation after a surprise reunion with old friends.,Elation,Positive,Instagram,Canada,2020-04-02 09:30:00,50,25,0.1,Positive,0.7717,Positive,Positive
The euphoria of a live music concert under the stars.,Euphoria,Positive,Facebook,USA,2021-06-19 14:45:00,30,15,0.1364,Positive,0.6486,Positive,Positive
Contentment in the simplicity of a quiet Sunday.,Contentment,Positive,Twitter,Australia,2010-08-15 10:00:00,60,30,0.0,Neutral,0.3612,Positive,Positive
Serenity found in the pages of a favorite book.,Serenity,Positive,Instagram,UK,2011-09-22 19:30:00,45,22,0.5,Positive,0.4588,Positive,Positive
Gratitude for the support received during tough times.,Gratitude,Positive,Facebook,India,2012-03-10 08:30:00,30,15,-0.3889,Negative,0.6705,Positive,Positive
Hopeful about the possibilities of a new journey.,Hope,Positive,Twitter,Canada,2013-12-05 16:00:00,35,18,0.1364,Positive,0.5106,Positive,Positive
Empowerment through learning and personal growth.,Empowerment,Positive,Instagram,USA,2014-07-20 11:30:00,50,25,0.0,Neutral,0.3818,Positive,Positive
Compassion towards those in need during the holidays.,Compassion,Positive,Facebook,USA,2015-12-22 14:20:00,35,18,0.0,Neutral,0.6808,Positive,Positive
Tenderness in the warmth of a cozy winter evening.,Tenderness,Positive,Twitter,UK,2016-02-10 19:45:00,50,25,-0.2,Negative,0.7003,Positive,Positive
Arousal of excitement for an upcoming adventure.,Arousal,Neutral,Instagram,Australia,2017-04-30 11:30:00,40,20,0.0,Neutral,0.6705,Positive,Positive
Enthusiasm for a creative project in the making.,Enthusiasm,Positive,Facebook,Canada,2018-09-15 16:00:00,30,15,0.5,Positive,0.7003,Positive,Positive
Fulfillment in completing a challenging workout routine.,Fulfillment,Positive,Twitter,India,2019-06-28 18:20:00,45,22,0.5,Positive,0.1531,Positive,Positive
Reverence for the artistry displayed in a museum.,Reverence,Positive,Instagram,UK,2020-11-11 15:00:00,35,18,0.0,Neutral,0.0,Neutral,Neutral
Elation after achieving a personal goal.,Elation,Positive,Facebook,USA,2021-03-02 09:30:00,50,25,0.0,Neutral,0.3612,Positive,Positive
Elation over discovering a hidden gem in the city.,Elation,Positive,Twitter,USA,2012-02-18 14:30:00,40,20,-0.1667,Negative,0.3612,Positive,Positive
The euphoria of a surprise birthday celebration.,Euphoria,Positive,Instagram,UK,2018-11-05 21:45:00,30,15,0.0,Neutral,0.7506,Positive,Positive
Contentment in the simplicity of a home-cooked meal.,Contentment,Positive,Facebook,India,2015-09-12 13:20:00,50,25,0.0,Neutral,0.3612,Positive,Positive
Serenity found in the melody of a peaceful piano.,Serenity,Positive,Twitter,Canada,2016-07-30 18:10:00,35,18,0.25,Positive,0.4939,Positive,Positive
Gratitude for the supportive community around me.,Gratitude,Positive,Instagram,USA,2013-04-20 10:30:00,60,30,0.5,Positive,0.6705,Positive,Positive
Hopeful about the prospects of a new business venture.,Hope,Positive,Facebook,Canada,2017-12-08 19:15:00,45,22,0.1364,Positive,0.6705,Positive,Positive
Empowerment through mentoring and guiding others.,Empowerment,Positive,Twitter,UK,2014-06-03 08:20:00,30,15,0.0,Neutral,0.0,Neutral,Neutral
Compassion shown through acts of kindness in the community.,Compassion,Positive,Instagram,Australia,2019-01-15 14:50:00,35,18,0.0,Neutral,0.7184,Positive,Positive
Tenderness in a heartfelt message to a loved one.,Tenderness,Positive,Facebook,UK,2016-12-25 19:30:00,50,25,0.35,Positive,0.8807,Positive,Positive
Arousal of excitement before a much-awaited trip.,Arousal,Neutral,Twitter,India,2018-03-10 09:45:00,40,20,0.2,Positive,0.4939,Positive,Positive
Enthusiasm for a new artistic project in the works.,Enthusiasm,Positive,Instagram,USA,2020-09-17 16:30:00,30,15,0.2348,Positive,0.4404,Positive,Positive
Feeling a sense of fulfillment after helping others.,Fulfillment,Positive,Facebook,Canada,2011-08-28 18:45:00,45,22,0.0,Neutral,0.4019,Positive,Positive
Reverence for the historical significance of a landmark.,Reverence,Positive,Twitter,Australia,2017-11-01 15:30:00,35,18,0.0,Neutral,0.34,Positive,Positive
Elation after achieving a fitness milestone.,Elation,Positive,Instagram,UK,2019-06-15 10:00:00,50,25,0.0,Neutral,0.5574,Positive,Positive
The euphoria of a successful product launch.,Euphoria,Positive,Facebook,USA,2022-04-03 11:45:00,30,15,0.75,Positive,0.8442,Positive,Positive
Contentment in the embrace of a loved one.,Contentment,Positive,Twitter,India,2010-11-12 20:20:00,60,30,0.7,Positive,0.8271,Positive,Positive
Serenity found in the beauty of a sunset by the sea.,Serenity,Positive,Instagram,Canada,2011-07-22 18:30:00,45,22,0.0,Neutral,0.5859,Positive,Positive
Gratitude for the small joys that each day brings.,Gratitude,Positive,Facebook,Australia,2012-03-30 11:20:00,30,15,-0.25,Negative,0.7579,Positive,Positive
Hopeful about the potential for personal growth.,Hope,Positive,Twitter,UK,2013-10-05 16:40:00,35,18,0.0,Neutral,0.7096,Positive,Positive
Empowerment through learning a new skill.,Empowerment,Positive,Instagram,India,2014-07-10 13:15:00,50,25,0.1364,Positive,0.0,Neutral,Neutral
Compassion in volunteering for a local charity.,Compassion,Positive,Facebook,USA,2015-12-18 14:20:00,35,18,0.0,Neutral,0.7003,Positive,Positive
Tenderness in a quiet moment shared with a pet.,Tenderness,Positive,Twitter,Canada,2016-02-10 19:45:00,50,25,0.0,Neutral,0.6369,Positive,Positive
Arousal of excitement for an upcoming festival.,Arousal,Neutral,Instagram,UK,2017-09-25 11:30:00,40,20,0.0,Neutral,0.7506,Positive,Positive
Enthusiasm for a DIY home improvement project.,Enthusiasm,Positive,Facebook,Australia,2018-04-15 16:00:00,30,15,0.0,Neutral,0.7096,Positive,Positive
Fulfillment in completing a challenging puzzle.,Fulfillment,Positive,Twitter,India,2019-11-28 18:20:00,45,22,0.5,Positive,0.1531,Positive,Positive
Reverence for the wonders of nature on a hiking trail.,Reverence,Positive,Instagram,USA,2020-05-11 15:00:00,35,18,0.0,Neutral,0.0,Neutral,Neutral
Elation after a surprise reunion with a childhood friend.,Elation,Positive,Facebook,Canada,2021-02-05 09:30:00,50,25,0.0,Neutral,0.7783,Positive,Positive
Suffering from despair after another setback.,Despair,Negative,Twitter,USA,2021-03-10 08:30:00,10,5,0.0,Neutral,-0.6597,Negative,Negative
"Overwhelmed by grief, missing a loved one dearly.",Grief,Negative,Instagram,Canada,2022-07-05 15:45:00,15,8,-0.1,Negative,0.3612,Positive,Positive
Loneliness creeps in as the night grows colder.,Loneliness,Negative,Facebook,UK,2019-11-18 21:20:00,20,10,0.0,Neutral,-0.4215,Negative,Negative
Jealousy consumes me as I witness others' success.,Jealousy,Negative,Twitter,India,2020-08-12 11:30:00,25,12,0.3,Positive,0.34,Positive,Positive
Resentment building up over past betrayals.,Resentment,Negative,Instagram,Australia,2018-05-22 14:45:00,15,7,-0.25,Negative,-0.4404,Negative,Negative
Frustration mounts as obstacles block my path.,Frustration,Negative,Facebook,USA,2017-01-30 16:10:00,20,10,-0.05,Negative,-0.8225,Negative,Negative
"Boredom sets in, the day feels endlessly dull.",Boredom,Negative,Twitter,Canada,2016-09-28 19:45:00,15,8,-0.2917,Negative,-0.6124,Negative,Negative
"Anxiety grips my heart, worry clouds my thoughts.",Anxiety,Negative,Instagram,UK,2019-04-15 09:00:00,25,12,0.0,Neutral,-0.5574,Negative,Negative
Intimidation by the unknown future ahead.,Intimidation,Negative,Facebook,India,2021-12-03 18:30:00,30,15,-0.05,Negative,-0.4215,Negative,Negative
Helplessness sinks in as challenges pile up.,Helplessness,Negative,Twitter,Australia,2020-06-20 14:20:00,15,8,-0.1,Negative,-0.4215,Negative,Negative
Envy eats away at me as I see others' prosperity.,Envy,Negative,Instagram,Canada,2018-11-07 11:30:00,20,10,0.0,Neutral,-0.2732,Negative,Negative
Regret over missed opportunities haunts my thoughts.,Regret,Negative,Facebook,UK,2017-08-25 16:00:00,25,12,0.0,Neutral,-0.5267,Negative,Negative
Disgust at the sight of injustice and cruelty.,Disgust,Negative,Twitter,India,2019-02-11 09:45:00,15,7,0.0,Neutral,-0.91,Negative,Negative
"Drowning in despair, hope slipping through my fingers.",Despair,Negative,Instagram,USA,2016-04-02 20:20:00,20,10,-0.1,Negative,0.1531,Positive,Positive
"Grief weighs heavy, tears a constant companion.",Grief,Negative,Facebook,Canada,2015-10-18 15:30:00,25,12,-0.3333,Negative,-0.6249,Negative,Negative
"Loneliness in a crowded room, a silent cry for connection.",Loneliness,Negative,Twitter,UK,2019-07-12 18:10:00,30,15,0.0,Neutral,-0.7096,Negative,Negative
"Jealousy gnaws at my confidence, a toxic emotion.",Jealousy,Negative,Instagram,India,2018-06-03 16:30:00,15,8,0.0,Neutral,0.25,Positive,Positive
"Resentment festers, poisoning relationships.",Resentment,Negative,Facebook,Australia,2022-01-15 12:00:00,20,10,0.0,Neutral,-0.7717,Negative,Negative
"Frustration boils over, a volcanic eruption of emotions.",Frustration,Negative,Twitter,USA,2017-04-10 14:45:00,25,12,0.0,Neutral,-0.4767,Negative,Negative
"Boredom settles like dust, life feels mundane.",Boredom,Negative,Instagram,Canada,2016-11-28 19:00:00,15,7,-0.1667,Negative,0.0516,Positive,Positive
"Anxiety grips my chest, a relentless grip on my thoughts.",Anxiety,Negative,Facebook,UK,2018-09-05 09:30:00,20,10,0.0,Neutral,-0.128,Negative,Negative
"Intimidation by the challenges ahead, fear takes hold.",Intimidation,Negative,Twitter,India,2021-10-22 18:30:00,30,15,0.0,Neutral,-0.6908,Negative,Negative
"Helplessness engulfs me, drowning in a sea of problems.",Helplessness,Negative,Instagram,Australia,2019-05-08 14:20:00,15,8,0.0,Neutral,-0.7003,Negative,Negative
"Envy poisons my thoughts, coveting others' success.",Envy,Negative,Facebook,Canada,2017-03-20 11:30:00,20,10,0.3,Positive,-0.2732,Negative,Negative
